"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Micro","log2fold_change","Auc"
"376","ENSG00000172340","hurdle",1.17893668195877e-139,-1.3800865,-0.1821531,1.1979334,0.64
"88","ENSG00000102445","hurdle",2.34120360689135e-182,-1.9430483,-0.3673539,1.5756944,0.64
"375","ENSG00000172243","hurdle",0,-3.2722874,-0.9828014,2.289486,0.638
"430","ENSG00000196935","hurdle",4.007483378349e-100,-0.03173832,0.77367484,0.80541316,0.637
"180","ENSG00000124813","hurdle",6.09979239863327e-117,-0.409608,0.3058712,0.7154792,0.635
"152","ENSG00000117115","hurdle",2.48146461877203e-253,-1.6266249,0.6273473,2.2539722,0.635
"136","ENSG00000112343","hurdle",0,-3.117253,-1.080418,2.036835,0.635
"368","ENSG00000171659","hurdle",0,-3.0178177,-0.9721555,2.0456622,0.633
"387","ENSG00000174125","hurdle",0,-3.061948,-1.042801,2.019147,0.632
"125","ENSG00000110324","hurdle",0,-3.109286,-1.044659,2.064627,0.632
"483","ENSG00000259124","hurdle",2.57717008101199e-225,-1.5087603,0.6050077,2.113768,0.631
"164","ENSG00000121281","hurdle",1.14316127607754e-168,-2.0224697,-0.7257453,1.2967244,0.631
"5","ENSG00000010610","hurdle",0,-3.025508,-1.042801,1.982707,0.631
"408","ENSG00000182185","hurdle",6.02893204523218e-85,0.1334086,0.9616939,0.8282853,0.629
"359","ENSG00000170542","hurdle",2.32004337045309e-118,-1.19598736,0.07043224,1.2664196,0.628
"156","ENSG00000118785","hurdle",2.77639865800867e-233,-1.6173947,0.8630866,2.4804813,0.628
"416","ENSG00000184574","hurdle",0,-3.245097,-1.170849,2.074248,0.627
"110","ENSG00000106066","hurdle",6.74003183047186e-207,-2.3602586,-0.4872843,1.8729743,0.626
"105","ENSG00000105483","hurdle",3.76581799465484e-171,-2.224249,-0.7726984,1.4515506,0.626
"202","ENSG00000132274","hurdle",1.52040932033855e-207,-2.346012,-0.884703,1.461309,0.625
"297","ENSG00000158195","hurdle",6.33298823327242e-84,-0.5151595,0.3254202,0.8405797,0.624
"273","ENSG00000147065","hurdle",2.3677540252767e-182,-2.35527,-0.813292,1.541978,0.623
"208","ENSG00000133246","hurdle",2.55297417027983e-314,-2.967365,-1.029864,1.937501,0.623
"194","ENSG00000129534","hurdle",3.58825340188969e-97,-0.8453195,-0.0354865,0.809833,0.623
"389","ENSG00000174600","hurdle",0,-3.153307,-1.017041,2.136266,0.622
"76","ENSG00000100647","hurdle",4.18167286896513e-78,-0.2442309,0.4092361,0.653467,0.622
"55","ENSG00000086730","hurdle",3.83570058643946e-231,-2.693148,-0.979244,1.713904,0.622
"37","ENSG00000071073","hurdle",2.75977843982773e-68,0.6161806,1.1929098,0.5767292,0.622
"19","ENSG00000031081","hurdle",1.05460270349856e-147,-1.4770736,-0.4449626,1.032111,0.621
"336","ENSG00000166927","hurdle",0,-3.269748,-1.262998,2.00675,0.62
"145","ENSG00000115935","hurdle",2.05413511807746e-102,-1.1439647,-0.1279742,1.0159905,0.62
"422","ENSG00000186818","hurdle",0,-3.285821,-1.349907,1.935914,0.617
"488","ENSG00000271605","hurdle",0,-3.248593,-1.347612,1.900981,0.616
"275","ENSG00000148429","hurdle",1.31265504206136e-71,-0.2744557,0.5082243,0.78268,0.616
"210","ENSG00000133789","hurdle",1.23193363017931e-87,-0.96992866,-0.07575646,0.8941722,0.616
"146","ENSG00000115956","hurdle",0,-3.156822,-1.201607,1.955215,0.616
"302","ENSG00000159399","hurdle",0,-3.137712,-1.162756,1.974956,0.615
"23","ENSG00000043462","hurdle",1.29667478916136e-208,-2.6850056,-0.9598337,1.7251719,0.615
"424","ENSG00000196126","hurdle",3.16800110853666e-266,-2.95039,-1.121,1.82939,0.614
"385","ENSG00000173821","hurdle",2.12610834378522e-63,-0.1108817,0.4910158,0.6018975,0.614
"166","ENSG00000121933","hurdle",0,-3.173813,-1.29139,1.882423,0.614
"460","ENSG00000215244","hurdle",7.20065661953737e-146,-2.097598,-0.752822,1.344776,0.613
"89","ENSG00000102699","hurdle",2.03597176718451e-134,-2.1864012,-0.8780631,1.3083381,0.613
"73","ENSG00000100311","hurdle",1.73927599689332e-154,-2.1245297,-0.5012468,1.6232829,0.613
"68","ENSG00000096060","hurdle",4.39826169216336e-87,-0.85894735,0.04445419,0.90340154,0.613
"44","ENSG00000077238","hurdle",9.52050892432722e-235,-2.839292,-1.187172,1.65212,0.613
"498","ENSG00000286403","hurdle",0,-3.303891,-1.356814,1.947077,0.612
"108","ENSG00000105939","hurdle",4.63643914426481e-162,-2.3532524,-0.6516777,1.7015747,0.611
"16","ENSG00000027075","hurdle",4.9275580563347e-122,-1.2844615,-0.3182158,0.9662457,0.611
"397","ENSG00000177663","hurdle",7.1656022115851e-121,-1.9299589,-0.6389927,1.2909662,0.61
"316","ENSG00000163106","hurdle",0,-3.201131,-1.199536,2.001595,0.61
