"","Gene","test.type","p_value","log2.mean.Cluster_Other","log2.mean.Inhib","log2fold_change","Auc"
"517","ENSG00000197321","hurdle",0,-0.9261329,0.8017909,1.7279238,0.695
"513","ENSG00000196482","hurdle",0,2.287562,2.988707,0.701145,0.695
"148","ENSG00000122012","hurdle",0,-1.178454,1.22109,2.399544,0.695
"404","ENSG00000171451","hurdle",0,-1.1655603,0.7452872,1.9108475,0.693
"231","ENSG00000144227","hurdle",0,-2.001272,1.006938,3.00821,0.693
"433","ENSG00000176884","hurdle",0,1.773842,2.395491,0.621649,0.692
"343","ENSG00000163710","hurdle",0,-2.674541,0.461381,3.135922,0.692
"462","ENSG00000183023","hurdle",0,4.127933,4.905033,0.777100000000001,0.691
"179","ENSG00000133687","hurdle",0,1.278149,1.958599,0.68045,0.691
"35","ENSG00000071242","hurdle",0,2.103405,3.268016,1.164611,0.691
"478","ENSG00000185477","hurdle",0,-1.064827,0.3587832,1.4236102,0.69
"236","ENSG00000144451","hurdle",0,1.647681,2.374,0.726319,0.69
"213","ENSG00000139767","hurdle",0,2.518838,3.020382,0.501544,0.689
"79","ENSG00000101871","hurdle",0,-0.984317,0.7772045,1.7615215,0.689
"201","ENSG00000137478","hurdle",0,1.47756,2.216506,0.738946,0.688
"546","ENSG00000229989","hurdle",0,1.156311,2.197249,1.040938,0.687
"40","ENSG00000075223","hurdle",0,-0.6987438,2.4109179,3.1096617,0.687
"71","ENSG00000101004","hurdle",0,-1.4488758,0.1463644,1.5952402,0.686
"60","ENSG00000095015","hurdle",0,-1.1354957,0.3757614,1.5112571,0.686
"243","ENSG00000145147","hurdle",0,1.946864,3.201695,1.254831,0.685
"558","ENSG00000237036","hurdle",0,-1.1298494,0.7849423,1.9147917,0.684
"468","ENSG00000183878","hurdle",0,0.7304017,1.7093548,0.9789531,0.684
"193","ENSG00000135905","hurdle",0,1.156696,1.985184,0.828488,0.684
"181","ENSG00000134115","hurdle",0,0.2807025,1.2923321,1.0116296,0.684
"415","ENSG00000172461","hurdle",0,2.827313,3.635617,0.808304,0.683
"235","ENSG00000144366","hurdle",0,1.569075,3.163504,1.594429,0.682
"16","ENSG00000033867","hurdle",0,0.05556829,1.15565702,1.10008873,0.682
"283","ENSG00000151883","hurdle",0,1.742433,2.378945,0.636512,0.681
"580","ENSG00000262655","hurdle",0,-0.543334,1.322564,1.865898,0.68
"389","ENSG00000169851","hurdle",0,3.701102,4.285972,0.58487,0.68
"368","ENSG00000166444","hurdle",0,0.1304053,1.1496175,1.0192122,0.68
"272","ENSG00000150394","hurdle",0,2.446408,3.231938,0.78553,0.68
"215","ENSG00000139946","hurdle",0,-0.4478781,1.1528456,1.6007237,0.68
"63","ENSG00000099204","hurdle",0,2.307377,2.829709,0.522332,0.68
"391","ENSG00000169946","hurdle",0,2.763406,4.355116,1.59171,0.679
"426","ENSG00000174482","hurdle",0,4.020132,4.602877,0.582745,0.678
"76","ENSG00000101493","hurdle",0,-0.7354298,0.4400154,1.1754452,0.678
"327","ENSG00000158966","hurdle",0,0.09470802,2.32564378,2.23093576,0.677
"189","ENSG00000134533","hurdle",0,-0.5344658,1.0500092,1.584475,0.677
"98","ENSG00000107742","hurdle",0,0.6609423,1.443389,0.7824467,0.677
"523","ENSG00000198739","hurdle",0,3.008357,3.564104,0.555747,0.676
"34","ENSG00000070882","hurdle",0,1.301385,2.138656,0.837271,0.676
"556","ENSG00000236404","hurdle",0,0.5527939,1.5985729,1.045779,0.675
"406","ENSG00000171587","hurdle",0,4.488417,5.357065,0.868648,0.675
"549","ENSG00000231764","hurdle",0,-2.751022,1.806431,4.557453,0.674
"345","ENSG00000163888","hurdle",0,-1.3937885,0.1162532,1.5100417,0.674
"302","ENSG00000154229","hurdle",0,2.594642,3.257381,0.662739,0.674
"57","ENSG00000091436","hurdle",0,-1.5128484,0.5840236,2.096872,0.674
"576","ENSG00000259234","hurdle",0,0.9298594,1.8882931,0.9584337,0.673
"395","ENSG00000170396","hurdle",0,1.176551,3.090821,1.91427,0.673
"583","ENSG00000271860","hurdle",0,2.181437,4.083614,1.902177,0.672
"498","ENSG00000188517","hurdle",0,0.09940426,1.50792843,1.40852417,0.672
"495","ENSG00000188042","hurdle",0,-0.3246727,1.0141849,1.3388576,0.672
"455","ENSG00000182168","hurdle",0,3.081808,3.80656,0.724752,0.672
"274","ENSG00000150907","hurdle",0,-0.5450029,1.3216778,1.8666807,0.672
"87","ENSG00000105409","hurdle",0,0.9651198,1.630122,0.6650022,0.672
"204","ENSG00000137710","hurdle",0,0.576609,1.419123,0.842514,0.671
"145","ENSG00000120907","hurdle",0,-1.144393,1.03106,2.175453,0.671
"219","ENSG00000140859","hurdle",0,-0.9088988,0.7002652,1.609164,0.67
"58","ENSG00000091656","hurdle",0,-0.3974689,1.683979,2.0814479,0.67
"154","ENSG00000124225","hurdle",0,-0.341251,1.012312,1.353563,0.669
"394","ENSG00000170381","hurdle",0,0.07983521,1.74898801,1.6691528,0.668
"316","ENSG00000156299","hurdle",0,1.146708,2.627473,1.480765,0.668
"136","ENSG00000118257","hurdle",0,-1.0121316,0.5993346,1.6114662,0.668
"553","ENSG00000233639","hurdle",0,0.6144166,1.4236983,0.8092817,0.667
"414","ENSG00000172380","hurdle",0,-2.15447788,-0.01484592,2.13963196,0.667
"164","ENSG00000129116","hurdle",0,-0.1929176,0.8672838,1.0602014,0.667
"82","ENSG00000102290","hurdle",0,1.24023,2.290876,1.050646,0.667
"261","ENSG00000148123","hurdle",0,-0.2748198,0.9497075,1.2245273,0.666
"242","ENSG00000145012","hurdle",0,1.571633,2.206797,0.635164,0.666
"211","ENSG00000138795","hurdle",0,-1.5536096,0.2709753,1.8245849,0.666
"363","ENSG00000165973","hurdle",0,2.66377,4.041802,1.378032,0.665
"188","ENSG00000134480","hurdle",0,1.52623,2.401943,0.875713,0.665
"42","ENSG00000076641","hurdle",0,0.4808325,1.690173,1.2093405,0.665
"446","ENSG00000179796","hurdle",0,-0.5868872,0.7669757,1.3538629,0.664
"417","ENSG00000172671","hurdle",0,-2.1185537,-0.3852002,1.7333535,0.664
"441","ENSG00000178573","hurdle",0,-2.190884,0.05030508,2.24118908,0.663
"160","ENSG00000127328","hurdle",0,-0.5656048,1.1882297,1.7538345,0.663
"581","ENSG00000266028","hurdle",0,0.7567373,1.3172903,0.560553,0.662
"337","ENSG00000162946","hurdle",0,-0.4662072,1.2379901,1.7041973,0.662
"150","ENSG00000122584","hurdle",0,0.3198156,3.83988,3.5200644,0.662
"369","ENSG00000167081","hurdle",0,-0.3831766,1.6320159,2.0151925,0.661
"493","ENSG00000187720","hurdle",0,-0.359408,1.275845,1.635253,0.66
"99","ENSG00000108669","hurdle",0,0.2948694,1.0819511,0.7870817,0.659
"68","ENSG00000100154","hurdle",0,1.850309,2.515068,0.664759,0.659
"590","ENSG00000287564","hurdle",0,-1.7878718,0.5983878,2.3862596,0.658
"526","ENSG00000198838","hurdle",0,1.622338,2.79066,1.168322,0.658
