SAMPLE_ID,Sample,Dataset,BrNum,pos,library_prep,method,input,marker,cell_type,prop,RNAscope_prop,snRNA_prop,library_type,rna_extract,library_combo
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,Mathys,MeanRatio_top25,OligoOPC,0.16518543259610263,NA,0.2496584699453552,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,Tran,MeanRatio_top25,Astro,0.039414692594717776,NA,0.04644808743169399,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,Tran,MeanRatio_top25,EndoMural,0.11977613122776516,NA,0.012636612021857924,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,Tran,MeanRatio_top25,Excit,0.4144487081940782,NA,0.06181693989071038,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,Tran,MeanRatio_top25,Inhib,0.2359744347853377,NA,0.6168032786885246,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,Tran,MeanRatio_top25,Micro,0.022957710682607203,NA,0.012636612021857924,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Bulk,Br6432_ant,2107UNHS-0291,Br6432,Ant,Bulk,hspe,Tran,MeanRatio_top25,OligoOPC,0.16742832251549403,NA,0.2496584699453552,polyA,Total,polyA_Total
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,Bisque,Mathys,MeanRatio_top25,Astro,0.04616652452467529,NA,0.04644808743169399,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,Bisque,Mathys,MeanRatio_top25,EndoMural,0.010758695168468474,NA,0.012636612021857924,polyA,Cyto,polyA_Cyto
2107UNHS-0291_Br6432_Ant_Cyto,Br6432_ant,2107UNHS-0291,Br6432,Ant,Cyto,Bisque,Mathys,MeanRatio_top25,Excit,0.6434363943791431,NA,0.06181693989071038,polyA,Cyto,polyA_Cyto
